dataset,N,min_s,max_s,mean_s,sd_s,n,r,sigma,n_sigma2,r_sigma,loglik,n_profile_95_low,n_profile_95_high,n_profile_open_high,large_n_twice_delta_loglik,approx_conditional_ks,observed_positive_fraction,predicted_positive_fraction,positive_fraction_residual,boundary_hits,grid_delta_loglik
Ara-1,3449,-0.3997628240504162,0.045323488059067475,-0.02328115674288348,0.07336745147447983,3.566193653830434,0.2550410645445826,0.022630123705403488,0.001826328005638938,0.005771610840601699,8639.900859178892,2.793204585069363,4.610116200666987,False,55.7293624360027,0.08700768213213833,0.4804291098869237,0.39704124219927633,0.08338786768764739,,0.00030564210828742944
Ara-3,3214,-0.39656766247565145,0.041927210466766694,-0.02385835733546721,0.07703592862147098,2.0,0.17794570920202551,0.03293361370734201,0.002169245823648851,0.005860395247738523,8216.148901345441,2.0,2.0,False,226.00823750453674,0.1527181169123788,0.5497822028624767,0.4017884822345636,0.1479937206279131,n,-1.0046856389908498
Ara-4,3353,-0.397938788917455,0.03844374509868756,-0.025560882388099487,0.08079680418854149,2.000095545944686,0.18689001273468658,0.03234434653643458,0.0020924134617731774,0.006044835336089374,8409.22993263365,2.0,2.0,False,219.13720626490613,0.14666088435272123,0.5508499850879809,0.40745021569052536,0.14339976939745552,n,-0.8936366670714051
Ara-5,3432,-0.39911123388974945,0.04603687670347743,-0.024575366232045454,0.07577354549308517,2.0072293345639096,0.1827668882431404,0.03414636581258823,0.002340377814708847,0.006240825024378703,8582.227301943787,nan,nan,True,192.24358227050834,0.08831994203493532,0.483974358974359,0.4012176373100747,0.08275672166428427,,-0.9621196603038698
Ara-6,3408,-0.39992328780195485,0.05038772863709104,-0.019150402830226544,0.06613641357036353,2.0015852372848264,0.2420292581982702,0.03727482268140821,0.002781027360210729,0.009021597683053285,8050.128092992926,2.0,2.0,False,160.47093357883386,0.08021438662378766,0.49735915492957744,0.4195376874136439,0.07782146751593355,n,-0.4882642885113455
Ara+1,3346,-0.39850955670874655,0.045022635160844995,-0.02680004640573917,0.07761185477618567,13.173636651805154,0.37151573785202757,0.010329875982838015,0.0014057105228961729,0.0038377114976840035,8663.026383862356,8.271593546966841,85.72321289096402,False,5.188203586279997,0.08966562324682315,0.4572624028690974,0.37319987956641165,0.08406252330268577,,0.016946957894106163
Ara+2,3386,-0.39974385061753537,0.04494618949418189,-0.025363359601212093,0.07139205980492504,3.735879834847542,0.24468343158922462,0.029829526353677766,0.0033241882772931885,0.007298790870899087,8101.76017442391,3.0364835585482717,4.610116200666987,False,42.497083425889286,0.030961535418607473,0.36798582398109864,0.36489941762458566,0.003086406356512972,,-0.00286933236020559
Ara+3,3392,-0.3989262725249437,0.03830117555466475,-0.02892050333598125,0.08374913915198623,2.000108194486772,0.19223432025036574,0.03942641590633534,0.0031090527245224153,0.007579110261662581,8065.612878243175,2.0,2.0,False,197.13349356034632,0.07650937833871302,0.46226415094339623,0.39611048757473755,0.06615366336865869,n,-1.070112750350745
Ara+5,3332,-0.3989519713549831,0.06438448503953345,-0.023638382451055456,0.0746267277296764,2.1063291541716906,0.22387418939904527,0.032048942379273825,0.0021634837799427136,0.007174930996256637,8046.24208391739,2.1741934513349426,2.3635585819138742,False,66.02094827890869,0.05114380902066007,0.45738295318127253,0.41716296320188284,0.04021998997938969,,-0.15992633961923275
Ara+6,3425,-0.3996361684865252,0.12473508703381989,-0.03508711489049697,0.0850973783093522,273.55413861077017,2.4006527501059036,0.0048874757558344355,0.006534502400362107,0.011733132114319868,6833.055230278735,26.628322789356492,300.0,True,0.026226688827591715,0.040161008263594936,0.32204379562043794,0.3156563208127212,0.006387474807716731,,-0.0009527824113320094
