background,x,s,tail_count,common_mu_fit_count,individual_mu_fit_count
REL606,0.01,-0.01,1093,1046.2754864600338,1093.1374713903267
REL606,0.010177029011328716,-0.010177029011328716,1079,1036.6506072783986,1081.8807609709745
REL606,0.010357191949742633,-0.010357191949742633,1070,1027.1142691172297,1070.7399678381316
REL606,0.010540544294843095,-0.010540544294843095,1063,1017.6656574715208,1059.7138983200402
REL606,0.010727142508381356,-0.010727142508381356,1052,1008.3039653290396,1048.8013710369169
REL606,0.010917044051645456,-0.010917044051645456,1041,999.0283931014116,1038.0012167743737
REL606,0.011110307403154938,-0.011110307403154938,1031,989.8381485558219,1027.3122783581439
REL606,0.011306992076668802,-0.011306992076668802,1017,980.7324467473451,1016.7334105300981
REL606,0.011507158639512226,-0.011507158639512226,1008,971.7105099519118,1006.2634798255355
REL606,0.01171086873122778,-0.01171086873122778,994,962.771567599878,995.9013644517399
REL606,0.011918185082556742,-0.011918185082556742,986,953.9148562102087,985.6459541677867
REL606,0.01212917153475651,-0.01212917153475651,970,945.1396193252701,975.4961501655863
REL606,0.012343893059259944,-0.012343893059259944,955,936.4451074462223,965.4508649521532
REL606,0.012562415777682757,-0.012562415777682757,946,927.8305779690025,955.5090222330888
REL606,0.0127848069821851,-0.0127848069821851,936,919.2952951208935,945.6695567972575
REL606,0.013011135156193569,-0.013011135156193569,922,910.8385298976904,935.931414402665
REL606,0.013241469995490094,-0.013241469995490094,910,902.459560001431,926.2935516634939
REL606,0.01347588242967414,-0.01347588242967414,900,894.1576697786994,916.7549359383122
REL606,0.013714444644004856,-0.013714444644004856,894,885.9321501595107,907.3145452194357
REL606,0.013957230101629914,-0.013957230101629914,888,877.7822985967439,897.9713680234228
REL606,0.014204313566207808,-0.014204313566207808,882,869.7074190061331,888.7244032827
REL606,0.01445577112493069,-0.01445577112493069,876,861.7068217068229,879.5726602383043
REL606,0.014711680211954759,-0.014711680211954759,865,853.7798233624573,870.5151583337278
REL606,0.014972119632245416,-0.014972119632245416,859,845.9257469228137,861.5509271098572
REL606,0.015237169585844574,-0.015237169585844574,852,838.1439215659815,852.6790061009987
REL606,0.01550691169256758,-0.01550691169256758,845,830.43368264106,843.8984447319579
REL606,0.015781429017137274,-0.015781429017137274,839,822.7943716113973,835.2083022162072
REL606,0.016060806094763087,-0.016060806094763087,832,815.2253359983351,826.6076474550745
REL606,0.016345128957172897,-0.016345128957172897,826,807.7259293254899,818.0955589379834
REL606,0.016634485159105764,-0.016634485159105764,814,800.2955110635318,809.6711246437211
REL606,0.016928963805273624,-0.016928963805273624,806,792.9334465754752,801.3334419427223
REL606,0.017228655577800345,-0.017228655577800345,800,785.6391070624773,793.0816175003498
REL606,0.01753365276414644,-0.01753365276414644,795,778.4118695101295,784.9147671811871
REL606,0.017844049285528227,-0.017844049285528227,788,771.2511166352489,776.8320159543042
REL606,0.01815994072584002,-0.01815994072584002,780,764.1562368331502,768.8324977995042
REL606,0.018481424361088364,-0.018481424361088364,774,757.1266241254142,760.9153556145337
REL606,0.018808599189347356,-0.018808599189347356,768,750.1616781081257,753.0797411232502
REL606,0.01914156596124418,-0.01914156596124418,759,743.2608039005945,745.3248147847328
REL606,0.019480427210984426,-0.019480427210984426,753,736.4234120945481,737.6497457033316
REL606,0.019825287287926586,-0.019825287287926586,742,729.6489187037889,730.0537115396411
REL606,0.020176252388715517,-0.020176252388715517,733,722.9367451143107,722.5358984223918
REL606,0.02053343058998481,-0.02053343058998481,724,716.2863180348882,715.0955008612482
REL606,0.020896931881637992,-0.020896931881637992,717,709.6970694481029,707.7317216605054
REL606,0.02126686820071898,-0.02126686820071898,712,703.1684365618353,700.4437718336742
REL606,0.021643353465882118,-0.021643353465882118,703,696.6998617611906,693.2308705189455
REL606,0.022026503612472412,-0.022026503612472412,692,690.2907925608783,686.0922448955259
REL606,0.02241643662822685,-0.02241643662822685,687,683.9406815580166,679.0271301008337
REL606,0.022813272589607633,-0.022813272589607633,678,677.6489863853865,672.0347691485491
REL606,0.023217133698778706,-0.023217133698778706,668,671.4151696651033,665.114412847507
REL606,0.023628144321236846,-0.023628144321236846,658,665.2386989627181,658.2653197214253
REL606,0.02404643102410891,-0.02404643102410891,652,659.1190467417454,651.4867559294605
REL606,0.024472122615127125,-0.024472122615127125,641,653.055690318603,644.7779951875814
REL606,0.02490535018229423,-0.02490535018229423,632,647.0481118179706,638.1383186907485
REL606,0.025346247134250932,-0.025346247134250932,629,641.0957981285572,631.5670150359048
REL606,0.025794949241357907,-0.025794949241357907,624,635.1982408592771,625.0633801457462
REL606,0.026251594677505093,-0.026251594677505093,621,629.3549362958271,618.6267171932884
REL606,0.02671632406266118,-0.02671632406266118,609,623.5653853576628,612.2563365272023
REL606,0.027189280506176233,-0.027189280506176233,602,617.8290935553725,605.951555597925
REL606,0.02767060965085098,-0.02767060965085098,596,612.145570948445,599.711698884527
REL606,0.028160459717786277,-0.028160459717786277,585,606.5143321034193,593.5360978223342
REL606,0.028658981552026445,-0.028658981552026445,581,600.9348960524255,587.4240907312956
REL606,0.029166328669010762,-0.029166328669010762,573,595.4067862521066,581.3750227450854
REL606,0.029682657301847097,-0.029682657301847097,562,589.9295305429133,575.3882457409438
REL606,0.030208126449422605,-0.030208126449422605,553,584.5026611087782,569.4631182702263
REL606,0.030742897925366015,-0.030742897925366015,549,579.1257144371606,563.599005489685
REL606,0.03128713640787672,-0.03128713640787672,547,573.7982312794552,557.7952790934403
REL606,0.03184100949043604,-0.03184100949043604,543,568.5197566117681,552.0513172456673
REL606,0.03240468773341604,-0.03240468773341604,536,563.2898395960549,546.3665045139694
REL606,0.03297834471660228,-0.03297834471660228,535,558.1080335416111,540.7402318034336
REL606,0.033562157092646046,-0.033562157092646046,531,552.9738958669216,535.1718962913751
REL606,0.03415630464146305,-0.03415630464146305,529,547.8869880618608,529.6609013627451
REL606,0.03476097032559513,-0.03476097032559513,522,542.8468756502361,524.2066565462077
REL606,0.03537634034655181,-0.03537634034655181,516,537.8531281526823,518.8085774508746
REL606,0.036002604202149624,-0.036002604202149624,513,532.9053190498907,513.4660857036905
REL606,0.036639954744866185,-0.036639954744866185,509,528.0030257461835,508.1786088874641
REL606,0.037288588241227424,-0.037288588241227424,507,523.1458295334163,502.94558047953683
REL606,0.03794870443224625,-0.03794870443224625,504,518.3333155552173,497.76643979108303
REL606,0.038620506594930853,-0.038620506594930853,502,513.5650727715554,492.6406319070357
REL606,0.03930420160488233,-0.03930420160488233,498,508.8406939236302,487.56760762663026
REL606,0.04,-0.04,495,504.15977549909115,482.54682340456094
REL607,0.01,-0.01,1141,1124.4362935244988,1168.9985213813256
REL607,0.010177029011328716,-0.010177029011328716,1138,1114.09239881161,1157.105609271197
REL607,0.010357191949742633,-0.010357191949742633,1129,1103.843659474306,1145.3336907772907
REL607,0.010540544294843095,-0.010540544294843095,1122,1093.6892001609165,1133.6815349601156
REL607,0.010727142508381356,-0.010727142508381356,1111,1083.6281535722937,1122.1479234032552
REL607,0.010917044051645456,-0.010917044051645456,1099,1073.6596603877313,1110.7316500859642
REL607,0.011110307403154938,-0.011110307403154938,1096,1063.7828691915693,1099.4315212570582
REL607,0.011306992076668802,-0.011306992076668802,1086,1053.9969364004792,1088.246355310086
REL607,0.011507158639512226,-0.011507158639512226,1078,1044.3010261914085,1077.174982659779
REL607,0.01171086873122778,-0.01171086873122778,1067,1034.694310430192,1066.2162456197498
REL607,0.011918185082556742,-0.011918185082556742,1060,1025.175968600822,1055.3689982814362
REL607,0.01212917153475651,-0.01212917153475651,1049,1015.7451877353709,1044.632106394281
REL607,0.012343893059259944,-0.012343893059259944,1038,1006.401162344545,1034.0044472471286
REL607,0.012562415777682757,-0.012562415777682757,1030,997.1430943489,1023.4849095508275
REL607,0.0127848069821851,-0.0127848069821851,1013,987.9701930106656,1013.0723933220235
REL607,0.013011135156193569,-0.013011135156193569,1004,978.8816748662164,1002.7658097681455
REL607,0.013241469995490094,-0.013241469995490094,991,969.876763659148,992.5640811735518
REL607,0.01347588242967414,-0.01347588242967414,980,960.9546902739838,982.4661407868368
REL607,0.013714444644004856,-0.013714444644004856,971,952.1146926704788,972.4709327092863
REL607,0.013957230101629914,-0.013957230101629914,964,943.3560158185347,962.5774117844693
REL607,0.014204313566207808,-0.014204313566207808,954,934.6779116337151,952.7845434889476
REL607,0.01445577112493069,-0.01445577112493069,950,926.0796389133492,943.0913038240989
REL607,0.014711680211954759,-0.014711680211954759,939,917.5604632732204,933.4966792090452
REL607,0.014972119632245416,-0.014972119632245416,926,909.1196570848513,923.9996663746656
REL607,0.015237169585844574,-0.015237169585844574,918,900.7564994133513,914.5992722586866
REL607,0.01550691169256758,-0.01550691169256758,910,892.4702759558373,905.2945139018426
REL607,0.015781429017137274,-0.015781429017137274,900,884.2602789804331,896.0844183450979
REL607,0.016060806094763087,-0.016060806094763087,896,876.1258072658167,886.9680225278984
REL607,0.016345128957172897,-0.016345128957172897,885,868.0661660413272,877.9443731874746
REL607,0.016634485159105764,-0.016634485159105764,878,860.080666927626,869.0125267591637
REL607,0.016928963805273624,-0.016928963805273624,869,852.168627877904,860.1715492777428
REL607,0.017228655577800345,-0.017228655577800345,856,844.3293731196228,851.4205162797673
REL607,0.01753365276414644,-0.01753365276414644,853,836.5622330967992,842.7585127069044
REL607,0.017844049285528227,-0.017844049285528227,845,828.8665444128189,834.1846328102542
REL607,0.01815994072584002,-0.01815994072584002,836,821.2416497737751,825.6979800556302
REL607,0.018481424361088364,-0.018481424361088364,826,813.686897932323,817.29766702982
REL607,0.018808599189347356,-0.018808599189347356,815,806.2016436320655,808.98281534779
REL607,0.01914156596124418,-0.01914156596124418,805,798.7852475524363,800.7525555608348
REL607,0.019480427210984426,-0.019480427210984426,796,791.437076254094,792.6060270656629
REL607,0.019825287287926586,-0.019825287287926586,789,784.1565021248214,784.5423780144127
REL607,0.020176252388715517,-0.020176252388715517,782,776.9429033259228,776.5607652255696
REL607,0.02053343058998481,-0.02053343058998481,767,769.7956637391081,768.6603540958029
REL607,0.020896931881637992,-0.020896931881637992,761,762.714172913872,760.8403185126955
REL607,0.02126686820071898,-0.02126686820071898,756,755.6978260153562,753.0998407683603
REL607,0.021643353465882118,-0.021643353465882118,752,748.7460237726874,745.4381114739325
REL607,0.022026503612472412,-0.022026503612472412,747,741.8581724277942,737.8543294749413
REL607,0.02241643662822685,-0.02241643662822685,739,735.0336836846958,730.3477017675305
REL607,0.022813272589607633,-0.022813272589607633,734,728.2719746592513,722.9174434155427
REL607,0.023217133698778706,-0.023217133698778706,726,721.5724678293798,715.5627774684372
REL607,0.023628144321236846,-0.023628144321236846,718,714.9345909857286,708.2829348800515
REL607,0.02404643102410891,-0.02404643102410891,705,708.3577771828064,701.0771544281839
REL607,0.024472122615127125,-0.024472122615127125,694,701.8414646905549,693.9446826349943
REL607,0.02490535018229423,-0.02490535018229423,683,695.3850969463725,686.8847736882166
REL607,0.025346247134250932,-0.025346247134250932,673,688.9881225075815,679.8966893631774
REL607,0.025794949241357907,-0.025794949241357907,663,682.6499950043233,672.979698945594
REL607,0.026251594677505093,-0.026251594677505093,655,676.3701730928958,666.1330791551743
REL607,0.02671632406266118,-0.02671632406266118,652,670.1481204095182,659.3561140699833
REL607,0.027189280506176233,-0.027189280506176233,642,663.9833055245163,652.6480950515814
REL607,0.02767060965085098,-0.02767060965085098,633,657.8752018969341,646.0083206709263
REL607,0.028160459717786277,-0.028160459717786277,629,651.8232878295635,639.4360966350288
REL607,0.028658981552026445,-0.028658981552026445,627,645.8270464243847,632.9307357143516
REL607,0.029166328669010762,-0.029166328669010762,620,639.8859655384138,626.491557670948
REL607,0.029682657301847097,-0.029682657301847097,615,633.9995377399675,620.1178891873352
REL607,0.030208126449422605,-0.030208126449422605,606,628.1672602653165,613.8090637960863
REL607,0.030742897925366015,-0.030742897925366015,601,622.388634975749,607.5644218101404
REL607,0.03128713640787672,-0.03128713640787672,594,616.6631683150199,601.3833102538221
REL607,0.03184100949043604,-0.03184100949043604,589,610.9903712672003,595.2650827945643
REL607,0.03240468773341604,-0.03240468773341604,583,605.3697593149066,589.2090996753228
REL607,0.03297834471660228,-0.03297834471660228,580,599.8008523979187,583.2147276476777
REL607,0.033562157092646046,-0.033562157092646046,572,594.2831748721801,577.2813399056209
REL607,0.03415630464146305,-0.03415630464146305,564,588.8162554691688,571.4083160200119
REL607,0.03476097032559513,-0.03476097032559513,563,583.3996272556485,565.5950418737002
REL607,0.03537634034655181,-0.03537634034655181,558,578.0328275937879,559.8409095973136
REL607,0.036002604202149624,-0.036002604202149624,553,572.7153981016442,554.1453175056938
REL607,0.036639954744866185,-0.036639954744866185,548,567.446884614015,548.5076700349797
REL607,0.037288588241227424,-0.037288588241227424,544,562.2268371436455,542.9273776803329
REL607,0.03794870443224625,-0.03794870443224625,544,557.054809842796,537.4038569342973
REL607,0.038620506594930853,-0.038620506594930853,542,551.9303609651623,531.9365302257818
REL607,0.03930420160488233,-0.03930420160488233,538,546.8530528281439,526.5248258596662
REL607,0.04,-0.04,532,541.8224517754637,521.1681779570234
Ara-1,0.01,-0.01,993,1011.0212507944515,991.264969251096
Ara-1,0.010177029011328716,-0.010177029011328716,984,1001.7206817618288,982.6369487470778
Ara-1,0.010357191949742633,-0.010357191949742633,976,992.5056703614149,974.0840269705715
Ara-1,0.010540544294843095,-0.010540544294843095,968,983.3754295329327,965.6055502584486
Ara-1,0.010727142508381356,-0.010727142508381356,961,974.3291794564193,957.2008706370987
Ara-1,0.010917044051645456,-0.010917044051645456,953,965.3661474856153,948.8693457729046
Ara-1,0.011110307403154938,-0.011110307403154938,947,956.4855680819751,940.6103389231537
Ara-1,0.011306992076668802,-0.011306992076668802,939,947.6866827492838,932.4232188873757
Ara-1,0.011507158639512226,-0.011507158639512226,934,938.9687399688715,924.3073599591006
Ara-1,0.01171086873122778,-0.01171086873122778,929,930.3309951354244,916.262141878039
Ara-1,0.011918185082556742,-0.011918185082556742,916,921.7727104933882,908.2869497826782
Ara-1,0.01212917153475651,-0.01212917153475651,906,913.2931550739606,900.3811741632927
Ara-1,0.012343893059259944,-0.012343893059259944,900,904.8916046326486,892.5442108153576
Ara-1,0.012562415777682757,-0.012562415777682757,893,896.5673415874224,884.7754607933783
Ara-1,0.0127848069821851,-0.0127848069821851,883,888.3196549574163,877.0743303651086
Ara-1,0.013011135156193569,-0.013011135156193569,874,880.1478403022102,869.4402309661807
Ara-1,0.013241469995490094,-0.013241469995490094,865,872.051199661657,861.8725791551196
Ara-1,0.01347588242967414,-0.01347588242967414,855,864.0290414962759,854.3707965687547
Ara-1,0.013714444644004856,-0.013714444644004856,851,856.0806806281811,846.9343098780186
Ara-1,0.013957230101629914,-0.013957230101629914,845,848.2054381825636,839.5625507441273
Ara-1,0.014204313566207808,-0.014204313566207808,834,840.4026415297093,832.2549557751458
Ara-1,0.01445577112493069,-0.01445577112493069,827,832.6716242275479,825.0109664829357
Ara-1,0.014711680211954759,-0.014711680211954759,822,825.0117259647275,817.8300292404622
Ara-1,0.014972119632245416,-0.014972119632245416,811,817.4222925042246,810.7115952394912
Ara-1,0.015237169585844574,-0.015237169585844574,808,809.9026756274623,803.6551204486426
Ara-1,0.01550691169256758,-0.01550691169256758,797,802.4522330789395,796.6600655718132
Ara-1,0.015781429017137274,-0.015781429017137274,795,795.0703285113856,789.7258960069607
