dataset,transition,kind,n_fixed_mut,n_100,r_100,r_100_null,r_100_w,n_95,cut_95,r_95,r_95_null,n_90,cut_90,r_90,r_90_null,excluded
Limdi rep,REL606 green -> red,control,0,3499,0.9526,0.9563,0.9527,3325,-0.2468,0.8672,0.833,3150,-0.0851,0.6499,0.5344,
Limdi rep,REL607 green -> red,control,0,3509,0.9661,0.9604,0.9613,3334,-0.2828,0.9088,0.8714,3159,-0.1045,0.707,0.6093,
Limdi rep,Ara-1 green -> red,control,0,3523,0.9389,0.9555,0.954,3347,-0.3341,0.9041,0.8619,3171,-0.1039,0.6986,0.517,
Limdi Ara-1,REL606 -> Ara-1,evolved,1100,3441,0.8686,0.975,0.7803,3269,-0.2369,0.5636,0.8597,3097,-0.07776,0.2935,0.5424,
Limdi rep,Ara-2 green -> red,control,0,3445,0.8789,0.8868,0.9823,3273,-0.07249,0.836,0.8338,3101,-0.02858,0.8479,0.8408,sweeping mutants bias assay
Limdi Ara-2,REL606 -> Ara-2,evolved,1000,3361,0.5317,0.9464,0.179,3193,-0.2388,0.008026,0.8251,3025,-0.0806,-0.08119,0.8074,sweeping mutants bias assay
Limdi rep,Ara-3 green -> red,control,0,3349,0.981,0.9794,0.971,3182,-0.3728,0.9659,0.9557,3015,-0.1801,0.8926,0.8222,
Limdi Ara-3,REL606 -> Ara-3,evolved,800,3230,0.891,0.9835,0.7726,3069,-0.2559,0.674,0.9254,2907,-0.09188,0.3196,0.6554,
Limdi rep,Ara-4 green -> red,control,0,3388,0.9692,0.9658,0.9663,3219,-0.2874,0.9247,0.9042,3050,-0.09076,0.6624,0.5998,
Limdi Ara-4,REL606 -> Ara-4,evolved,1300,3309,0.8965,0.9788,0.809,3144,-0.2455,0.6758,0.8969,2979,-0.07776,0.3141,0.5667,
Limdi rep,Ara-5 green -> red,control,0,3479,0.9628,0.9673,0.963,3306,-0.2691,0.9286,0.9012,3132,-0.08924,0.74,0.6279,
Limdi Ara-5,REL606 -> Ara-5,evolved,90,3411,0.9054,0.9796,0.8166,3241,-0.2327,0.6819,0.9019,3070,-0.07078,0.3417,0.5978,
Limdi rep,Ara-6 green -> red,control,0,3447,0.9678,0.9543,0.9576,3275,-0.2026,0.871,0.7865,3103,-0.06162,0.6973,0.5579,
Limdi Ara-6,REL606 -> Ara-6,evolved,90,3366,0.812,0.9731,0.7302,3198,-0.2387,0.6347,0.8396,3030,-0.07793,0.3199,0.5698,
Limdi rep,Ara+1 green -> red,control,0,3353,0.9791,0.9694,0.9776,3186,-0.2443,0.9467,0.9053,3018,-0.08481,0.7966,0.6291,
Limdi Ara+1,REL607 -> Ara+1,evolved,125,3288,0.8892,0.9788,0.7908,3124,-0.2753,0.6499,0.9093,2960,-0.09648,0.2725,0.6184,
Limdi rep,Ara+2 green -> red,control,0,3448,0.9739,0.9632,0.9699,3276,-0.2672,0.9329,0.8782,3104,-0.09432,0.7829,0.5907,
Limdi Ara+2,REL607 -> Ara+2,evolved,70,3376,0.8862,0.9793,0.7615,3208,-0.2853,0.6498,0.9044,3039,-0.09506,0.2931,0.6262,
Limdi rep,Ara+3 green -> red,control,0,3479,0.9743,0.9689,0.9704,3306,-0.3448,0.9521,0.9308,3132,-0.1813,0.8168,0.7166,
Limdi Ara+3,REL607 -> Ara+3,evolved,1800,3395,0.8679,0.9799,0.7537,3226,-0.284,0.6421,0.9262,3056,-0.09545,0.2842,0.6395,
Limdi rep,Ara+4 green -> red,control,0,3419,0.8936,0.9156,0.958,3249,-0.402,0.8239,0.8517,3078,-0.2824,0.7009,0.7348,poor technical replicates
Limdi Ara+4,REL607 -> Ara+4,evolved,70,3318,0.7287,0.9564,0.6716,3153,-0.2863,0.3652,0.832,2987,-0.09784,0.1293,0.5293,poor technical replicates
Limdi rep,Ara+5 green -> red,control,0,3400,0.9708,0.9634,0.9724,3230,-0.2985,0.9302,0.8913,3060,-0.09775,0.6986,0.5789,
Limdi Ara+5,REL607 -> Ara+5,evolved,80,3346,0.8884,0.9802,0.7685,3179,-0.284,0.6246,0.9119,3012,-0.09545,0.2302,0.6191,
Limdi rep,Ara+6 green -> red,control,0,3521,0.9633,0.9584,0.9699,3345,-0.3501,0.937,0.9189,3169,-0.1891,0.8325,0.7582,
Limdi Ara+6,REL607 -> Ara+6,evolved,2600,3373,0.82,0.9741,0.6594,3205,-0.2753,0.5016,0.8955,3036,-0.09368,0.1322,0.6338,
