background,x,s,tail_count,individual_fit_count,common_fit_count
REL606,0.01,-0.01,1093,1093.1374713903267,1046.2754864600338
REL606,0.010177029011328716,-0.010177029011328716,1079,1081.8807609709745,1036.6506072783986
REL606,0.010357191949742633,-0.010357191949742633,1070,1070.7399678381316,1027.1142691172297
REL606,0.010540544294843095,-0.010540544294843095,1063,1059.7138983200402,1017.6656574715208
REL606,0.010727142508381356,-0.010727142508381356,1052,1048.8013710369169,1008.3039653290396
REL606,0.010917044051645456,-0.010917044051645456,1041,1038.0012167743737,999.0283931014116
REL606,0.011110307403154938,-0.011110307403154938,1031,1027.3122783581439,989.8381485558219
REL606,0.011306992076668802,-0.011306992076668802,1017,1016.7334105300981,980.7324467473451
REL606,0.011507158639512226,-0.011507158639512226,1008,1006.2634798255355,971.7105099519118
REL606,0.01171086873122778,-0.01171086873122778,994,995.9013644517399,962.771567599878
REL606,0.011918185082556742,-0.011918185082556742,986,985.6459541677867,953.9148562102087
REL606,0.01212917153475651,-0.01212917153475651,970,975.4961501655863,945.1396193252701
REL606,0.012343893059259944,-0.012343893059259944,955,965.4508649521532,936.4451074462223
REL606,0.012562415777682757,-0.012562415777682757,946,955.5090222330888,927.8305779690025
REL606,0.0127848069821851,-0.0127848069821851,936,945.6695567972575,919.2952951208935
REL606,0.013011135156193569,-0.013011135156193569,922,935.931414402665,910.8385298976904
REL606,0.013241469995490094,-0.013241469995490094,910,926.2935516634939,902.459560001431
REL606,0.01347588242967414,-0.01347588242967414,900,916.7549359383122,894.1576697786994
REL606,0.013714444644004856,-0.013714444644004856,894,907.3145452194357,885.9321501595107
REL606,0.013957230101629914,-0.013957230101629914,888,897.9713680234228,877.7822985967439
REL606,0.014204313566207808,-0.014204313566207808,882,888.7244032827,869.7074190061331
REL606,0.01445577112493069,-0.01445577112493069,876,879.5726602383043,861.7068217068229
REL606,0.014711680211954759,-0.014711680211954759,865,870.5151583337278,853.7798233624573
REL606,0.014972119632245416,-0.014972119632245416,859,861.5509271098572,845.9257469228137
REL606,0.015237169585844574,-0.015237169585844574,852,852.6790061009987,838.1439215659815
REL606,0.01550691169256758,-0.01550691169256758,845,843.8984447319579,830.43368264106
REL606,0.015781429017137274,-0.015781429017137274,839,835.2083022162072,822.7943716113973
REL606,0.016060806094763087,-0.016060806094763087,832,826.6076474550745,815.2253359983351
REL606,0.016345128957172897,-0.016345128957172897,826,818.0955589379834,807.7259293254899
REL606,0.016634485159105764,-0.016634485159105764,814,809.6711246437211,800.2955110635318
REL606,0.016928963805273624,-0.016928963805273624,806,801.3334419427223,792.9334465754752
REL606,0.017228655577800345,-0.017228655577800345,800,793.0816175003498,785.6391070624773
REL606,0.01753365276414644,-0.01753365276414644,795,784.9147671811871,778.4118695101295
REL606,0.017844049285528227,-0.017844049285528227,788,776.8320159543042,771.2511166352489
REL606,0.01815994072584002,-0.01815994072584002,780,768.8324977995042,764.1562368331502
REL606,0.018481424361088364,-0.018481424361088364,774,760.9153556145337,757.1266241254142
REL606,0.018808599189347356,-0.018808599189347356,768,753.0797411232502,750.1616781081257
REL606,0.01914156596124418,-0.01914156596124418,759,745.3248147847328,743.2608039005945
REL606,0.019480427210984426,-0.019480427210984426,753,737.6497457033316,736.4234120945481
REL606,0.019825287287926586,-0.019825287287926586,742,730.0537115396411,729.6489187037889
REL606,0.020176252388715517,-0.020176252388715517,733,722.5358984223918,722.9367451143107
REL606,0.02053343058998481,-0.02053343058998481,724,715.0955008612482,716.2863180348882
REL606,0.020896931881637992,-0.020896931881637992,717,707.7317216605054,709.6970694481029
REL606,0.02126686820071898,-0.02126686820071898,712,700.4437718336742,703.1684365618353
REL606,0.021643353465882118,-0.021643353465882118,703,693.2308705189455,696.6998617611906
REL606,0.022026503612472412,-0.022026503612472412,692,686.0922448955259,690.2907925608783
REL606,0.02241643662822685,-0.02241643662822685,687,679.0271301008337,683.9406815580166
REL606,0.022813272589607633,-0.022813272589607633,678,672.0347691485491,677.6489863853865
REL606,0.023217133698778706,-0.023217133698778706,668,665.114412847507,671.4151696651033
REL606,0.023628144321236846,-0.023628144321236846,658,658.2653197214253,665.2386989627181
REL606,0.02404643102410891,-0.02404643102410891,652,651.4867559294605,659.1190467417454
REL606,0.024472122615127125,-0.024472122615127125,641,644.7779951875814,653.055690318603
REL606,0.02490535018229423,-0.02490535018229423,632,638.1383186907485,647.0481118179706
REL606,0.025346247134250932,-0.025346247134250932,629,631.5670150359048,641.0957981285572
REL606,0.025794949241357907,-0.025794949241357907,624,625.0633801457462,635.1982408592771
