background,short_window_common_mu,full_range_best_mu,full_range_best_r_squared,observed_tail_count_at_x_0.5,common_mu_predicted_count_at_x_0.5,common_mu_predicted_to_observed_at_x_0.5,common_mu_extrapolation_log_rmse
REL606,0.5266549219919693,0.6954513480748633,0.8734471199726063,11,133.31380838052874,12.119437125502612,0.3772690084257399
REL607,0.5266549219919693,0.6793813501148476,0.8567846213013804,12,143.272863133034,11.939405261086167,0.3744629199614432
Ara-1,0.5266549219919693,0.6650517089335651,0.7400946255201293,4,128.82180175421945,32.20545043855486,0.4778213988639002
Ara-3,0.5266549219919693,0.45747673274852885,0.8643177413522103,56,128.0593007871581,2.286773228342109,0.26567124881604387
Ara+2,0.5266549219919693,0.7429347260781017,0.8086537298354041,6,143.27146322191038,23.87857720365173,0.5047910322636526
Ara+6,0.5266549219919693,0.7243420846395514,0.805143813485937,11,207.33879197549317,18.848981088681196,0.491685318212622
